anio_acci,nro_acci,fecha,desc_dia,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2020,1764,2020-05-12,Martes,11:45:00,,0.0,2,"Pickup/Utilitario,Moto/Ciclomotor", ,2,1,0,0,1,0,0,"-28.02095, -61.18469",Avenida,,GATO COLORADO,9 de Julio,Ripio,No existe,XII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,Buen Tiempo,Frontal,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1765,2020-05-11,Lunes,19:00:00,,0.0,2,"Pickup/Utilitario,Moto/Ciclomotor",Roque Saenz Pe�a Y Naciones Unidas,2,1,0,0,1,0,0,"-31.63329, -60.72242",Calle,,SANTA FE,La Capital,Hormigón,No existe,I,S/D,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Atardecer,Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1766,2020-05-16,Sabado,10:00:00,Autopista Nacional A008,0.0,2,"Moto/Ciclomotor,Automóvil",Av. Eva Peron Y Av. Circunvalacion,3,2,0,0,1,0,0,"-32.93123, -60.72307",Autopista,A008,ROSARIO,Rosario,Asfalto,No existe,II,S/D,Urbana,Ninguna,Funciona,Recta,Bueno,Buena,Diurna,Buen Tiempo,De alcance,S/D,Colisión,Ninguna,S/D,Cordón divisorio,Sin restricción
2020,1767,2020-05-09,Sabado,16:45:00,,0.0,1,Moto/Ciclomotor,Sarratea Bis 1100,2,2,0,0,0,0,0,"-32.91683, -60.74155",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Recta,Bueno,Buena,Diurna,Buen Tiempo,Otro,S/D,Cañda ocupante,Ninguna,S/D,Ninguna,Sin restricción
2020,1768,2020-05-15,Viernes,09:00:00,,0.0,2,"Bicicleta,Automóvil",Pje. Sotomayor Bis Y J.J.Paso,3,1,0,0,2,0,0,"-32.91972, -60.69523",Avenida,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,Con baches,Buena,Diurna,Buen Tiempo,S/D,Ciclista,Atropello,Otro,Faltante,Ninguna,Sin restricción
2020,1769,2020-05-11,Lunes,11:00:00,,0.0,2,"Taxi/Remis,Moto/Ciclomotor",Mariano Cabal Bis Y Pje. Pelayo,2,1,0,0,1,0,0,"-32.91937, -60.7026",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,Diurna,S/D,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1770,2020-03-01,Domingo,09:10:00,,0.0,2,"Moto/Ciclomotor,Camión c / Semirremolque",Alberdi Y Padre Genesio,2,1,0,0,1,0,0,"-31.602370672373,-60.681841096279",Calle,,SANTA FE,La Capital,Asfalto,No existe,I,Dentro,Urbana,Ninguna,No existe,Intersección,Otro,S/D,Diurna,Otro,S/D,S/D,Colisión,Otro,Faltante,Ninguna,Sin restricción
2020,1771,2020-03-06,Viernes,21:30:00,Ruta Nacional 11,0.0,2,"Moto/Ciclomotor,Moto/Ciclomotor",Granadero Baigorria Y Ruta Nac 11,2,1,0,0,1,0,0,"-32.733249664306605,-60.74042558670",Ruta,11,SAN LORENZO,San Lorenzo,Asfalto,Pavimento,XVII,Dentro,Urbana,Ninguna,No existe,Intersección,Bueno,Buena,"Nocturna,Con luz artificial",Buen Tiempo,Lateral,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
2020,1772,2020-05-09,Sabado,01:30:00,,0.0,2,"Moto/Ciclomotor,Automóvil",Jose Ingenieros Y Dr.Victor Cue Bis,4,2,0,0,1,0,1,"-32.91659, -60.69718",Calle,,ROSARIO,Rosario,S/D,No existe,II,S/D,Urbana,Ninguna,No existe,Intersección,S/D,S/D,Nocturna,S/D,Lateral,S/D,Colisión,S/D,Faltante,Ninguna,Sin restricción
2020,1773,2020-03-06,Viernes,10:40:00,Autopista Nacional A008,0.0,2,"Moto/Ciclomotor,Automóvil",Av. Circunvalacion ,2,1,0,0,1,0,0,"-33.016175, -60.649457",Autopista,A008,ROSARIO,Rosario,Asfalto,Natural,II,Dentro,Urbana,Ninguna,No existe,Pendiente,Otro,Buena,Diurna,Otro,De alcance,S/D,Colisión,Ninguna,Faltante,Ninguna,Sin restricción
