"anio_acci","nro_acci","fecha","desc_dia","fecha_aprox","hora_aprox","desc_ruta","km","cant_participantes","desc_participante","calle_avenida_km","total","heridos_leves","heridos_graves","heridos_gravisimos","ilesos","fallecidos","sin_datos","posicion_XY","desc_tipo_via","desc_ruta_ori","desc_loc","desc_dpto","desc_tipo_calzada","desc_tipo_banquina","desc_unidad_regional","desc_lugar_calzada","desc_zona","desc_prioridad","desc_estado_semaforo","desc_lugar_via","desc_estado_via","desc_estado_visibilidad","desc_luminosidad","desc_estado_clima","desc_tipo_colision","desc_tipo_atropello","desc_tipo_hecho","desc_pres_calzada","desc_senializacion","desc_separacion_via","desc_restriccion"
2015,2523,24/04/2015,"Viernes",0,09:00:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Calle 12 San Martin Y Calle 25-Rivadavia",4,2,0,0,2,0,0,,"Calle",,"RECONQUISTA","General Obligado","Asfalto","No existe","IX","S/D","Urbana","S/D","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","S/D","S/D","Colisión","Ninguna","S/D","S/D","S/D"
2015,2524,23/04/2015,"Jueves",0,21:15:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Calle 24 - Olessio Y Calle 45-Islas Georgias del S",2,1,0,0,1,0,0,,"Calle",,"RECONQUISTA","General Obligado","Asfalto","No existe","IX","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Nocturna,Con luz artificial","Buen Tiempo","Otro","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,2525,08/05/2015,"Viernes",0,17:00:00,,"0.0",2,"Automóvil,Transporte de Pasajeros Urbano (> 8 asientos)","Av San Martin 300",3,0,0,0,1,0,2,,"S/D",,"SAN LORENZO","San Lorenzo","S/D","S/D","XVII","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D"
2015,2526,25/04/2015,"Sabado",0,16:25:00,"Ruta Nacional 11","0.0",2,"Automóvil,Moto/Ciclomotor","Ruta Nacional 11 Y Calle 43",2,1,0,0,1,0,0,,"Ruta",11,"RECONQUISTA","General Obligado","Asfalto","Pavimento","IX","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Otro","S/D","Colisión","Ninguna","Faltante","Línea divisoria pintada","Sin restricción"
2015,2527,27/04/2015,"Lunes",0,,,"0.0",1,"Moto/Ciclomotor","Calle 57-Prof Roberto Roveda 1800",2,2,0,0,0,0,0,,"Calle",,"RECONQUISTA","General Obligado","Tierra","No existe","IX","Dentro","Urbana","Ninguna","No existe","Recta","Bueno","S/D","S/D","Buen Tiempo","Otro","S/D","Caída ocupante","Ninguna","Faltante","S/D","Sin restricción"
2015,2528,01/05/2015,"Viernes",0,13:10:00,,"0.0",2,"Automóvil,Moto/Ciclomotor","Sargento Cabral Y Moreno",2,1,0,0,1,0,0,,"S/D",,"SAN LORENZO","San Lorenzo","S/D","S/D","XVII","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D","S/D"
2015,2530,29/04/2015,"Miercoles",0,21:35:00,,"0.0",2,"Moto/Ciclomotor,Automóvil","Calle 75-Lisandro de la Torre Y Calle 12 San Martin",2,1,0,0,1,0,0,,"Calle",,"RECONQUISTA","General Obligado","Asfalto","No existe","IX","Dentro","Urbana","Ninguna","No existe","Intersección","Bueno","Buena","Nocturna,Con luz artificial","Buen Tiempo","Otro","S/D","Colisión","Ninguna","Faltante","Ninguna","Sin restricción"
2015,2531,08/04/2015,"Miercoles",0,17:00:00,,"0.0",2,"Automóvil,Transporte de Pasajeros Urbano (> 8 asientos)","Urquiza Y San Nicolas",3,2,0,0,1,0,0,,"Calle",,"ROSARIO","Rosario","Asfalto","No existe","II","S/D","Urbana","Ninguna","No existe","Recta","Bueno","Buena","Diurna","Buen Tiempo","S/D","S/D","Colisión","S/D","Faltante","Ninguna","Sin restricción"
2015,2532,17/04/2015,"Viernes",0,01:25:00,,"0.0",2,"Moto/Ciclomotor,Moto/Ciclomotor","Cordoba Y San Martin",2,2,0,0,0,0,0,,"Calle",,"MALABRIGO","General Obligado","Asfalto","S/D","IX","S/D","Urbana","Ninguna","S/D","Intersección","Bueno","S/D","Nocturna","Buen Tiempo","Lateral","S/D","Colisión","Ninguna","S/D","Ninguna","S/D"
2015,2533,20/04/2015,"Lunes",0,09:30:00,"Ruta Nacional A012","0.0",2,"Automóvil,Moto/Ciclomotor","RUTA NACIONA AO12 Y COLECTORA AUTOPISTA",2,1,0,0,1,0,0,,"Ruta","A012","ROLDÁN","San Lorenzo","Asfalto","Natural","XVII","Dentro","Urbana","Otra Señal","No existe","Intersección","Deteriorada","Buena","Diurna","Buen Tiempo","Lateral","S/D","Colisión","S/D","Vertical","Ninguna","Sin restricción"
2015,2534,10/05/2015,"Domingo",0,13:30:00,"Ruta Nacional 11","0.0",2,"Automóvil,Moto/Ciclomotor","AV SAN LORENZO Y CHACABUCO",2,1,0,0,1,0,0,,"Ruta",11,"CAPITÁN BERMÚDEZ","San Lorenzo","Asfalto","No existe","XVII","S/D","Urbana","S/D","No existe","Intersección","Bueno","Buena","Diurna","Buen Tiempo","Frontal","S/D","Colisión","S/D","S/D","Ninguna","S/D"
2015,2535,25/04/2015,"Sabado",0,02:20:00,"Ruta Nacional A012","39.0",2,"Automóvil,Camión","RUTA NACIONAL AO12 Y RUTA NACIONAL 9",2,0,1,0,1,0,0,,"Ruta","A012","ROLDÁN","San Lorenzo","Asfalto","Natural","XVII","Dentro","Urbana","Policía de tránsito","Intermitente","Intersección","Ahuellamiento","Reducida","Nocturna,Con luz artificial","Buen Tiempo","Lateral","S/D","Colisión","S/D","Vertical","Ninguna","S/D"
2015,2536,19/04/2015,"Domingo",0,09:50:00,,"0.0",2,"Automóvil,Bicicleta","Sarmiento Y 9 de julio",2,1,0,0,1,0,0,,"Calle",,"MALABRIGO","General Obligado","Asfalto","S/D","IX","S/D","Urbana","Ninguna","S/D","Intersección","Bueno","S/D","Diurna","Buen Tiempo","S/D","S/D","Atropello","Ninguna","Faltante","Ninguna","Sin restricción"
