anio_acci,nro_acci,fecha,desc_dia,fecha_aprox,hora_aprox,desc_ruta,km,cant_participantes,desc_participante,calle_avenida_km,total,heridos_leves,heridos_graves,heridos_gravisimos,ilesos,fallecidos,sin_datos,posicion_XY,desc_tipo_via,desc_ruta_ori,desc_loc,desc_dpto,desc_tipo_calzada,desc_tipo_banquina,desc_unidad_regional,desc_lugar_calzada,desc_zona,desc_prioridad,desc_estado_semaforo,desc_lugar_via,desc_estado_via,desc_estado_visibilidad,desc_luminosidad,desc_estado_clima,desc_tipo_colision,desc_tipo_atropello,desc_tipo_hecho,desc_pres_calzada,desc_senializacion,desc_separacion_via,desc_restriccion
2018,10027,2018-09-02,Domingo,0,06:30:00,,0.0,2,"Peatón,Automóvil",Boulevard Ovidio Lagos ,3,2,0,0,1,0,0,"-33.040457, -61.167548",Avenida,,CASILDA,Caseros,Asfalto,No existe,IV,Dentro,Urbana,S/D,S/D,Recta,S/D,S/D,Amanecer,S/D,S/D,Peatón,Atropello,S/D,S/D,Cordón divisorio,S/D
2018,10028,2018-03-20,Martes,0,07:20:00,,0.0,2,"Moto/Ciclomotor,Tren",Av 9 de Julio Y Jolly Medrano,2,1,0,0,0,0,1,"-32.996104, -60.771153",Avenida,,PÉREZ,Rosario,Asfalto,No existe,II,Dentro,Urbana,Señal Pare,No existe,Intersección,S/D,S/D,Diurna,S/D,S/D,S/D,Colisión,S/D,Vertical,Ninguna,S/D
2018,10029,2018-07-03,Martes,0,12:44:00,,0.0,2,"Otros,Moto/Ciclomotor",Av. Francia ,2,1,0,0,0,0,1,"-32.979408, -60.675024",Avenida,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,S/D,S/D,Recta,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,S/D,"Cordón divisorio,Vegetación",Sin restricción
2018,10030,2018-03-03,Sabado,0,20:15:00,Ruta Provincial 14,0.0,2,"Moto/Ciclomotor,Otros", ,2,1,0,0,0,0,1,"-32.994553, -60.752523",Ruta,14,PÉREZ,Rosario,Asfalto,Ripio,II,Dentro,Urbana,S/D,S/D,Recta,S/D,S/D,Nocturna,S/D,S/D,S/D,Colisión,S/D,S/D,Ninguna,S/D
2018,10031,2018-03-06,Martes,0,,,0.0,1,Otros, ,1,1,0,0,0,0,0,"-32.945247, -60.687789",Calle,,ROSARIO,Rosario,S/D,S/D,II,Dentro,Urbana,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D
2018,10032,2018-03-29,Jueves,0,06:25:00,Autopista Nacional A008,0.0,2,"Otros,Moto/Ciclomotor",Av. Circunvalacion ,2,2,0,0,0,0,0,"-32.977407, -60.713093",Autopista,A008,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,S/D,S/D,Recta,Bueno,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Horizontal,"Guardarrail,Línea divisoria pintada",Sin restricción
2018,10033,2018-03-07,Miercoles,0,07:45:00,,0.0,2,"Moto/Ciclomotor,Otros",Ocampo Y Suipacha,2,1,0,0,0,0,1,"-32.961794, -60.669218",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Ninguna,No existe,Intersección,S/D,S/D,Diurna,S/D,S/D,S/D,Colisión,S/D,Faltante,Ninguna,S/D
2018,10034,2018-03-07,Miercoles,0,21:30:00,,0.0,2,"Moto/Ciclomotor,Otros",Av. Francia Y Acevedo Bis,2,1,0,0,0,0,1,"-32.984200, -60.676939",Avenida,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,Semáforo,Funciona,Intersección,S/D,S/D,Nocturna,S/D,S/D,S/D,Colisión,S/D,Vertical,Cordón divisorio,S/D
2018,10035,2018-03-29,Jueves,0,13:10:00,,0.0,2,"Otros,Moto/Ciclomotor",Roullon Y Calle 1807,2,0,1,0,0,0,1,"-32.973130, -60.700902",Avenida,,ROSARIO,Rosario,Hormigón,No existe,II,Dentro,Urbana,S/D,No existe,Intersección,Deteriorada,Buena,Diurna,Buen Tiempo,S/D,S/D,Colisión,Ninguna,Faltante,Cordón divisorio,Sin restricción
2018,10036,2018-03-10,Sabado,0,13:00:00,,0.0,2,"Bicicleta,Otros",La Paz Y Valparaiso,2,1,0,0,0,0,1,"-32.956317, -60.686356",Calle,,ROSARIO,Rosario,Asfalto,No existe,II,Dentro,Urbana,S/D,S/D,Intersección,S/D,S/D,Diurna,S/D,S/D,Ciclista,Atropello,S/D,S/D,Ninguna,S/D
